temp[1],temp[2],tube_flowmeter[1],tube_flowmeter[2],tube_pressure[1],tube_pressure[2],tube_temp[1],tube_temp[2],anomaly
84.89,87.89,10.96,13.96,72.21,75.21,80.46,80.46,1
87.89,59.31,13.96,28.59,75.21,10.03,80.46,68.26,1
61.56,61.36,9.28,8.28,18.37,17.37,55.63,55.63,0
61.36,56.83,8.28,13.8,17.37,10.86,55.63,57.68,0
56.83,56.16,13.8,14.8,10.86,12.86,57.68,57.68,0
56.16,33.09,14.8,39.34,12.86,84.81,57.68,78.7,1
33.09,36.96,39.34,44.34,84.81,88.81,78.7,78.7,1
36.96,64.57,44.34,7.31,88.81,13.92,78.7,60.81,1
54.19,54.6,7.99,9.99,18.89,21.89,53.1,53.1,0
54.6,59.19,9.99,20.38,21.89,12.7,53.1,57.92,0
59.19,59.14,20.38,19.38,12.7,15.7,57.92,57.92,0
59.14,46.85,19.38,22.09,15.7,5.61,57.92,31.36,1
46.85,48.85,22.09,24.09,5.61,3.61,31.36,31.36,1
48.85,55.52,24.09,26.24,3.61,15.69,31.36,59.83,1
60.24,60.37,18.52,18.52,14.77,16.77,56.81,56.81,0
60.37,53.08,18.52,21.25,16.77,16.41,56.81,67.95,0
53.08,57.63,21.25,19.25,16.41,17.41,67.95,67.95,0
57.63,95.65,19.25,43.14,17.41,83.8,67.95,24.56,1
95.65,99.03,43.14,43.14,83.8,86.8,24.56,24.56,1
99.03,65.32,43.14,11.0,86.8,10.83,24.56,64.71,1
55.81,56.84,19.09,24.09,13.6,13.6,67.04,67.04,0
56.84,69.11,24.09,11.0,13.6,10.61,67.04,63.58,0
69.11,69.9,11.0,13.0,10.61,11.61,63.58,63.58,0
69.9,37.3,13.0,16.89,11.61,42.85,63.58,78.14,1
37.3,41.26,16.89,16.89,42.85,44.85,78.14,78.14,1
41.26,55.16,16.89,9.73,44.85,14.56,78.14,66.11,1
57.35,58.55,3.71,7.71,10.21,9.21,60.75,60.75,0
58.55,59.02,7.71,5.06,9.21,15.02,60.75,66.14,0
59.02,61.1,5.06,4.06,15.02,17.02,66.14,66.14,0
61.1,98.41,4.06,27.35,17.02,93.68,66.14,88.4,1
98.41,101.03,27.35,31.35,93.68,97.68,88.4,88.4,1
101.03,55.04,31.35,13.29,97.68,15.89,88.4,50.92,1
52.8,51.92,16.46,16.46,15.51,13.51,53.56,53.56,0
51.92,61.69,16.46,25.78,13.51,15.39,53.56,66.76,0
61.69,60.92,25.78,28.78,15.39,16.39,66.76,66.76,0
60.92,91.64,28.78,53.12,16.39,3.73,66.76,82.04,1
91.64,92.93,53.12,52.12,3.73,3.73,82.04,82.04,1
92.93,61.69,52.12,16.06,3.73,17.02,82.04,57.01,1
66.74,69.69,29.98,28.98,14.29,13.29,60.42,60.42,0
69.69,69.63,28.98,23.97,13.29,12.24,60.42,68.45,0
69.63,69.46,23.97,21.97,12.24,16.24,68.45,68.45,0
69.46,10.03,21.97,25.32,16.24,98.84,68.45,36.93,1
10.03,11.23,25.32,26.32,98.84,97.84,36.93,36.93,1
11.23,64.07,26.32,7.09,97.84,12.98,36.93,62.69,1
64.64,67.64,19.79,22.79,13.37,16.37,58.82,58.82,0
67.64,54.61,22.79,1.05,16.37,17.18,58.82,54.48,0
54.61,57.23,1.05,6.05,17.18,18.18,54.48,54.48,0
57.23,87.82,6.05,43.65,18.18,2.01,54.48,83.34,1
87.82,89.82,43.65,44.65,2.01,6.01,83.34,83.34,1
89.82,55.02,44.65,20.61,6.01,17.33,83.34,53.06,1
51.55,52.02,6.4,7.4,14.18,18.18,53.77,53.77,0
52.02,63.93,7.4,1.74,18.18,12.95,53.77,56.57,0
63.93,64.79,1.74,0.74,12.95,17.95,56.57,56.57,0
64.79,88.54,0.74,28.86,17.95,4.31,56.57,2.31,1
88.54,90.23,28.86,31.86,4.31,2.31,2.31,2.31,1
90.23,63.64,31.86,7.81,2.31,15.28,2.31,67.78,1
57.28,59.7,5.75,8.75,11.41,15.41,51.55,51.55,0
59.7,57.1,8.75,26.11,15.41,10.94,51.55,62.59,0
57.1,56.1,26.11,26.11,10.94,9.94,62.59,62.59,0
56.1,80.17,26.11,22.39,9.94,2.51,62.59,26.11,1
80.17,81.81,22.39,21.39,2.51,3.51,26.11,26.11,1
81.81,54.19,21.39,6.27,3.51,11.84,26.11,64.64,1
68.4,69.34,12.71,11.71,14.89,19.89,56.41,56.41,0
69.34,51.99,11.71,29.09,19.89,14.81,56.41,59.92,0
51.99,49.99,29.09,29.09,14.81,16.81,59.92,59.92,0
49.99,92.54,29.09,4.7,16.81,92.68,59.92,36.96,1
92.54,96.84,4.7,3.7,92.68,94.68,36.96,36.96,1
96.84,62.32,3.7,14.14,94.68,19.69,36.96,69.75,1
62.93,63.85,26.32,30.32,15.67,17.67,62.0,62.0,0
63.85,66.77,30.32,17.23,17.67,15.84,62.0,55.18,0
66.77,65.55,17.23,17.23,15.84,20.84,55.18,55.18,0
65.55,13.83,17.23,34.2,20.84,6.72,55.18,40.27,1
13.83,15.91,34.2,32.2,6.72,6.72,40.27,40.27,1
15.91,59.17,32.2,2.47,6.72,11.53,40.27,58.82,1
67.67,71.39,5.41,8.41,14.1,14.1,52.17,52.17,0
71.39,59.72,8.41,24.19,14.1,15.04,52.17,68.12,0
59.72,59.34,24.19,24.19,15.04,16.04,68.12,68.12,0
59.34,80.74,24.19,59.3,16.04,26.77,68.12,31.56,1
80.74,80.5,59.3,60.3,26.77,26.77,31.56,31.56,1
80.5,66.29,60.3,23.5,26.77,11.81,31.56,52.67,1
61.18,63.74,6.2,4.2,14.48,15.48,64.69,64.69,0
63.74,52.87,4.2,25.1,15.48,11.15,64.69,53.98,0
52.87,55.88,25.1,27.1,11.15,14.15,53.98,53.98,0
55.88,18.82,27.1,36.94,14.15,66.49,53.98,84.72,1
18.82,20.25,36.94,39.94,66.49,68.49,84.72,84.72,1
20.25,61.74,39.94,18.69,68.49,15.41,84.72,53.84,1
61.22,62.22,13.19,12.19,11.86,14.86,66.42,66.42,0
62.22,50.73,12.19,12.19,14.86,12.56,66.42,53.6,0
50.73,49.28,12.19,10.19,12.56,14.56,53.6,53.6,0
49.28,45.28,10.19,9.27,14.56,2.47,53.6,28.94,1
45.28,49.74,9.27,11.27,2.47,2.47,28.94,28.94,1
49.74,61.84,11.27,26.55,2.47,15.83,28.94,67.24,1
58.32,59.92,4.36,5.36,16.21,15.21,62.97,62.97,0
59.92,66.27,5.36,1.95,15.21,12.67,62.97,67.82,0
66.27,64.65,1.95,0.95,12.67,13.67,67.82,67.82,0
64.65,47.87,0.95,43.68,13.67,70.79,67.82,93.52,1
47.87,48.72,43.68,43.68,70.79,75.79,93.52,93.52,1
48.72,55.39,43.68,14.99,75.79,15.21,93.52,58.75,1
57.97,59.22,28.24,29.24,14.3,17.3,60.64,60.64,0
59.22,58.83,29.24,26.98,17.3,15.97,60.64,68.2,0
58.83,58.83,26.98,27.98,15.97,16.97,68.2,68.2,0
58.83,79.93,27.98,44.76,16.97,3.77,68.2,21.09,1
79.93,81.9,44.76,44.76,3.77,7.77,21.09,21.09,1
81.9,65.85,44.76,17.97,7.77,12.37,21.09,57.23,1
63.56,64.05,21.01,22.01,10.71,9.71,60.32,60.32,0
64.05,56.78,22.01,10.1,9.71,11.14,60.32,60.8,0
56.78,57.81,10.1,13.1,11.14,14.14,60.8,60.8,0
57.81,95.23,13.1,58.88,14.14,70.95,60.8,17.88,1
95.23,96.94,58.88,57.88,70.95,74.95,17.88,17.88,1
96.94,61.5,57.88,8.54,74.95,12.6,17.88,69.78,1
63.68,66.42,27.65,25.65,14.01,14.01,54.87,54.87,0
66.42,66.89,25.65,14.71,14.01,13.21,54.87,69.82,0
66.89,67.45,14.71,14.71,13.21,17.21,69.82,69.82,0
67.45,35.88,14.71,51.88,17.21,22.85,69.82,83.83,1
35.88,37.98,51.88,51.88,22.85,22.85,83.83,83.83,1
37.98,59.91,51.88,16.53,22.85,12.37,83.83,66.25,1
66.51,64.99,23.95,26.95,13.32,11.32,56.15,56.15,0
64.99,56.25,26.95,22.39,11.32,11.57,56.15,67.07,0
56.25,61.25,22.39,25.39,11.57,12.57,67.07,67.07,0
61.25,77.74,25.39,58.24,12.57,67.59,67.07,82.96,1
77.74,79.22,58.24,60.24,67.59,70.59,82.96,82.96,1
79.22,55.11,60.24,20.18,70.59,12.53,82.96,52.28,1
56.96,58.5,23.92,23.92,19.56,19.56,69.76,69.76,0
58.5,68.96,23.92,7.22,19.56,15.71,69.76,67.06,0
68.96,72.66,7.22,10.22,15.71,13.71,67.06,67.06,0
72.66,29.52,10.22,29.9,13.71,55.93,67.06,1.09,1
29.52,33.47,29.9,29.9,55.93,57.93,1.09,1.09,1
33.47,58.95,29.9,22.58,57.93,17.8,1.09,61.47,1
50.69,54.06,11.77,14.77,15.38,16.38,64.28,64.28,0
54.06,65.01,14.77,15.26,16.38,17.5,64.28,50.05,0
65.01,66.76,15.26,13.26,17.5,15.5,50.05,50.05,0
66.76,41.75,13.26,28.9,15.5,98.31,50.05,79.64,1
41.75,44.73,28.9,31.9,98.31,97.31,79.64,79.64,1
44.73,57.7,31.9,14.01,97.31,15.9,79.64,65.43,1
69.95,69.82,19.62,18.62,17.21,15.21,52.88,52.88,0
69.82,53.22,18.62,20.84,15.21,12.78,52.88,52.01,0
53.22,53.67,20.84,20.84,12.78,15.78,52.01,52.01,0
53.67,48.77,20.84,19.6,15.78,38.12,52.01,91.59,1
48.77,52.99,19.6,24.6,38.12,39.12,91.59,91.59,1
52.99,53.09,24.6,5.45,39.12,16.18,91.59,56.75,1
60.02,64.58,11.46,9.46,13.81,12.81,63.76,63.76,0
64.58,53.53,9.46,24.68,12.81,13.3,63.76,68.42,0
53.53,56.53,24.68,24.68,13.3,11.3,68.42,68.42,0
56.53,85.11,24.68,59.72,11.3,3.21,68.42,83.68,1
85.11,85.1,59.72,62.72,3.21,4.21,83.68,83.68,1
85.1,67.23,62.72,6.78,4.21,13.85,83.68,69.4,1
66.92,69.57,21.93,25.93,14.24,15.24,67.2,67.2,0
69.57,60.49,25.93,24.77,15.24,11.26,67.2,67.26,0
60.49,61.81,24.77,24.77,11.26,11.26,67.26,67.26,0
61.81,79.13,24.77,31.82,11.26,81.2,67.26,76.27,1
79.13,81.95,31.82,30.82,81.2,83.2,76.27,76.27,1
81.95,67.71,30.82,18.71,83.2,16.1,76.27,57.95,1
57.17,60.49,8.9,10.9,14.51,15.51,58.98,58.98,0
60.49,64.23,10.9,14.37,15.51,13.21,58.98,66.58,0
64.23,64.31,14.37,18.37,13.21,15.21,66.58,66.58,0
64.31,34.36,18.37,14.72,15.21,89.66,66.58,94.09,1
34.36,34.66,14.72,14.72,89.66,91.66,94.09,94.09,1
34.66,57.15,14.72,7.08,91.66,18.15,94.09,57.45,1
63.6,66.06,1.22,1.22,19.34,21.34,64.2,64.2,0
66.06,61.65,1.22,26.04,21.34,19.21,64.2,52.2,0
61.65,62.66,26.04,26.04,19.21,24.21,52.2,52.2,0
62.66,17.95,26.04,11.42,24.21,36.42,52.2,11.53,1
17.95,18.95,11.42,9.42,36.42,39.42,11.53,11.53,1
18.95,56.96,9.42,9.63,39.42,17.62,11.53,68.02,1
69.62,70.55,10.17,14.17,19.94,22.94,50.43,50.43,0
70.55,57.87,14.17,8.76,22.94,11.5,50.43,57.33,0
57.87,57.63,8.76,10.76,11.5,14.5,57.33,57.33,0
57.63,86.55,10.76,52.5,14.5,82.94,57.33,81.03,1
86.55,89.5,52.5,51.5,82.94,81.94,81.03,81.03,1
89.5,62.5,51.5,16.65,81.94,19.18,81.03,51.32,1
57.21,61.21,7.3,6.3,15.56,18.56,65.14,65.14,0
61.21,63.97,6.3,9.64,18.56,12.1,65.14,66.44,0
63.97,68.13,9.64,7.64,12.1,11.1,66.44,66.44,0
68.13,10.51,7.64,47.47,11.1,39.65,66.44,84.26,1
10.51,11.51,47.47,45.47,39.65,43.65,84.26,84.26,1
11.51,68.97,45.47,10.6,43.65,12.19,84.26,65.04,1
56.52,59.52,10.29,12.29,19.8,21.8,66.08,66.08,0
59.52,65.39,12.29,6.26,21.8,19.19,66.08,59.3,0
65.39,65.91,6.26,9.26,19.19,22.19,59.3,59.3,0
65.91,77.71,9.26,55.37,22.19,45.84,59.3,75.21,1
77.71,78.58,55.37,54.37,45.84,47.84,75.21,75.21,1
78.58,52.56,54.37,29.66,47.84,19.53,75.21,54.48,1
52.48,56.83,1.74,3.74,19.06,22.06,65.89,65.89,0
56.83,59.05,3.74,27.76,22.06,16.55,65.89,54.64,0
59.05,61.41,27.76,30.76,16.55,19.55,54.64,54.64,0
61.41,35.18,30.76,52.34,19.55,0.16,54.64,82.17,1
35.18,38.11,52.34,56.34,0.16,-0.84,82.17,82.17,1
38.11,60.83,56.34,13.43,-0.84,16.21,82.17,58.94,1
68.63,68.63,17.47,20.47,16.26,17.26,58.51,58.51,0
68.63,65.14,20.47,10.13,17.26,18.07,58.51,65.29,0
65.14,67.28,10.13,10.13,18.07,20.07,65.29,65.29,0
67.28,1.02,10.13,19.23,20.07,80.44,65.29,1.74,1
1.02,3.4,19.23,17.23,80.44,84.44,1.74,1.74,1
3.4,63.45,17.23,22.71,84.44,12.36,1.74,59.6,1
68.74,70.7,4.03,5.03,11.99,13.99,62.26,62.26,0
70.7,56.18,5.03,23.16,13.99,14.24,62.26,51.56,0
56.18,56.18,23.16,24.16,14.24,13.24,51.56,51.56,0
56.18,84.83,24.16,48.37,13.24,70.8,51.56,3.93,1
84.83,85.22,48.37,51.37,70.8,72.8,3.93,3.93,1
85.22,62.36,51.37,6.84,72.8,19.97,3.93,58.58,1
53.15,52.73,18.38,21.38,10.39,15.39,65.35,65.35,0
52.73,65.38,21.38,26.7,15.39,10.99,65.35,62.4,0
65.38,67.18,26.7,31.7,10.99,8.99,62.4,62.4,0
67.18,86.8,31.7,47.87,8.99,80.31,62.4,75.92,1
86.8,87.97,47.87,49.87,80.31,85.31,75.92,75.92,1
87.97,57.25,49.87,17.1,85.31,14.05,75.92,58.56,1
52.85,55.17,23.14,22.14,17.34,20.34,59.78,59.78,0
55.17,67.52,22.14,10.23,20.34,15.3,59.78,58.65,0
67.52,68.06,10.23,14.23,15.3,18.3,58.65,58.65,0
68.06,97.15,14.23,9.8,18.3,64.13,58.65,88.09,1
97.15,95.17,9.8,13.8,64.13,65.13,88.09,88.09,1
95.17,64.9,13.8,25.03,65.13,17.71,88.09,63.98,1
51.94,51.88,1.21,6.21,11.88,14.88,57.73,57.73,0
51.88,67.83,6.21,5.47,14.88,12.99,57.73,67.05,0
67.83,68.47,5.47,3.47,12.99,15.99,67.05,67.05,0
68.47,78.49,3.47,11.38,15.99,28.24,67.05,35.0,1
78.49,81.49,11.38,16.38,28.24,31.24,35.0,35.0,1
81.49,54.42,16.38,27.88,31.24,18.98,35.0,69.5,1
67.78,66.94,17.08,21.08,12.34,17.34,59.64,59.64,0
66.94,61.21,21.08,21.86,17.34,19.43,59.64,61.57,0
61.21,63.61,21.86,24.86,19.43,20.43,61.57,61.57,0
63.61,2.54,24.86,50.93,20.43,0.83,61.57,88.46,1
2.54,4.92,50.93,52.93,0.83,0.83,88.46,88.46,1
4.92,50.18,52.93,8.2,0.83,13.81,88.46,65.18,1
61.9,59.9,28.67,29.67,17.39,20.39,58.2,58.2,0
59.9,66.17,29.67,19.46,20.39,18.75,58.2,57.57,0
66.17,67.5,19.46,18.46,18.75,22.75,57.57,57.57,0
67.5,27.61,18.46,41.24,22.75,8.35,57.57,91.91,1
27.61,29.21,41.24,45.24,8.35,10.35,91.91,91.91,1
29.21,61.82,45.24,9.61,10.35,10.26,91.91,53.87,1
50.69,54.55,29.13,34.13,15.11,20.11,68.61,68.61,0
54.55,63.98,34.13,4.04,20.11,12.97,68.61,65.09,0
63.98,66.32,4.04,4.04,12.97,10.97,65.09,65.09,0
66.32,19.92,4.04,15.83,10.97,88.4,65.09,79.28,1
19.92,24.45,15.83,17.83,88.4,91.4,79.28,79.28,1
24.45,54.24,17.83,0.8,91.4,11.8,79.28,62.34,1
62.58,66.87,10.5,8.5,14.89,19.89,68.58,68.58,0
66.87,52.75,8.5,2.52,19.89,12.34,68.58,63.67,0
52.75,53.59,2.52,5.52,12.34,15.34,63.67,63.67,0
53.59,24.17,5.52,6.79,15.34,91.57,63.67,34.93,1
24.17,24.2,6.79,10.79,91.57,96.57,34.93,34.93,1
24.2,50.84,10.79,14.18,96.57,11.05,34.93,61.48,1
59.2,61.66,10.75,14.75,12.87,14.87,57.69,57.69,0
61.66,63.28,14.75,27.76,14.87,11.12,57.69,59.04,0
63.28,64.7,27.76,27.76,11.12,11.12,59.04,59.04,0
64.7,16.85,27.76,49.29,11.12,48.68,59.04,24.61,1
16.85,20.05,49.29,50.29,48.68,51.68,24.61,24.61,1
20.05,55.16,50.29,7.08,51.68,17.27,24.61,59.18,1
50.47,53.02,26.46,26.46,17.9,20.9,64.4,64.4,0
53.02,64.87,26.46,1.99,20.9,17.09,64.4,50.92,0
64.87,64.14,1.99,1.99,17.09,16.09,50.92,50.92,0
64.14,85.6,1.99,2.99,16.09,59.96,50.92,2.46,1
85.6,89.27,2.99,5.99,59.96,64.96,2.46,2.46,1
89.27,68.83,5.99,14.46,64.96,15.73,2.46,54.69,1
54.73,58.69,18.19,21.19,10.96,14.96,50.37,50.37,0
58.69,53.34,21.19,1.85,14.96,12.78,50.37,51.28,0
53.34,57.08,1.85,6.85,12.78,16.78,51.28,51.28,0
57.08,79.96,6.85,8.06,16.78,61.44,51.28,13.43,1
79.96,79.5,8.06,8.06,61.44,61.44,13.43,13.43,1
79.5,61.14,8.06,21.34,61.44,14.65,13.43,54.16,1
62.09,65.26,21.44,23.44,15.08,15.08,59.37,59.37,0
65.26,50.1,23.44,19.88,15.08,13.44,59.37,57.75,0
50.1,51.82,19.88,22.88,13.44,13.44,57.75,57.75,0
51.82,76.72,22.88,9.37,13.44,6.86,57.75,77.05,1
76.72,81.49,9.37,14.37,6.86,6.86,77.05,77.05,1
81.49,50.16,14.37,3.23,6.86,16.41,77.05,69.43,1
57.19,55.66,5.39,5.39,16.74,15.74,63.5,63.5,0
55.66,60.82,5.39,22.86,15.74,14.94,63.5,55.7,0
60.82,63.26,22.86,25.86,14.94,15.94,55.7,55.7,0
63.26,45.63,25.86,16.39,15.94,5.2,55.7,77.12,1
45.63,48.63,16.39,14.39,5.2,6.2,77.12,77.12,1
48.63,59.47,14.39,11.43,6.2,13.49,77.12,69.11,1
63.84,66.13,17.73,16.73,12.12,12.12,68.64,68.64,0
66.13,51.74,16.73,23.27,12.12,10.01,68.64,51.28,0
51.74,55.47,23.27,26.27,10.01,9.01,51.28,51.28,0
55.47,37.55,26.27,1.68,9.01,59.67,51.28,89.48,1
37.55,41.46,1.68,5.68,59.67,58.67,89.48,89.48,1
41.46,58.6,5.68,11.58,58.67,17.09,89.48,56.17,1
54.81,54.33,8.79,11.79,14.81,16.81,66.05,66.05,0
54.33,63.45,11.79,28.04,16.81,12.05,66.05,55.64,0
63.45,63.76,28.04,30.04,12.05,14.05,55.64,55.64,0
63.76,99.43,30.04,2.85,14.05,81.0,55.64,23.49,1
99.43,102.43,2.85,1.85,81.0,84.0,23.49,23.49,1
102.43,66.24,1.85,1.7,84.0,17.59,23.49,64.89,1
67.83,71.36,8.99,13.99,15.97,13.97,64.47,64.47,0
71.36,58.85,13.99,22.72,13.97,15.51,64.47,52.41,0
58.85,62.85,22.72,21.72,15.51,19.51,52.41,52.41,0
62.85,94.7,21.72,8.03,19.51,9.65,52.41,97.56,1
94.7,97.61,8.03,7.03,9.65,7.65,97.56,97.56,1
97.61,66.1,7.03,19.27,7.65,12.36,97.56,61.69,1
61.3,62.12,26.03,29.03,15.75,14.75,50.88,50.88,0
62.12,59.64,29.03,15.03,14.75,14.14,50.88,61.3,0
59.64,59.45,15.03,15.03,14.14,14.14,61.3,61.3,0
59.45,95.77,15.03,21.05,14.14,51.54,61.3,9.06,1
95.77,95.72,21.05,23.05,51.54,54.54,9.06,9.06,1
95.72,57.73,23.05,23.76,54.54,12.99,9.06,51.08,1
67.79,69.1,22.34,23.34,12.18,11.18,62.17,62.17,0
69.1,66.04,23.34,15.42,11.18,15.57,62.17,58.68,0
66.04,68.85,15.42,13.42,15.57,16.57,58.68,58.68,0
68.85,80.2,13.42,58.58,16.57,3.78,58.68,97.4,1
80.2,81.0,58.58,60.58,3.78,3.78,97.4,97.4,1
81.0,56.56,60.58,19.33,3.78,16.13,97.4,53.08,1
65.98,65.06,26.51,27.51,10.01,12.01,51.44,51.44,0
65.06,56.0,27.51,7.09,12.01,19.65,51.44,69.29,0
56.0,59.14,7.09,11.09,19.65,19.65,69.29,69.29,0
59.14,33.22,11.09,31.28,19.65,4.02,69.29,36.49,1
33.22,34.37,31.28,32.28,4.02,6.02,36.49,36.49,1
34.37,55.86,32.28,0.37,6.02,18.9,36.49,63.32,1
57.46,60.61,24.38,23.38,19.45,19.45,62.71,62.71,0
60.61,54.94,23.38,21.19,19.45,14.36,62.71,69.47,0
54.94,56.13,21.19,19.19,14.36,13.36,69.47,69.47,0
56.13,22.8,19.19,49.88,13.36,1.46,69.47,9.07,1
22.8,24.27,49.88,52.88,1.46,0.46,9.07,9.07,1
24.27,55.02,52.88,14.05,0.46,19.86,9.07,60.1,1
63.63,64.1,8.89,11.89,15.96,19.96,61.35,61.35,0
64.1,55.64,11.89,7.91,19.96,16.0,61.35,60.32,0
55.64,57.0,7.91,8.91,16.0,17.0,60.32,60.32,0
57.0,82.3,8.91,49.24,17.0,22.31,60.32,8.93,1
82.3,82.2,49.24,49.24,22.31,26.31,8.93,8.93,1
82.2,63.76,49.24,21.59,26.31,19.09,8.93,50.09,1
56.42,59.47,6.89,7.89,15.2,20.2,51.46,51.46,0
59.47,51.3,7.89,0.02,20.2,12.58,51.46,62.93,0
51.3,49.38,0.02,2.02,12.58,16.58,62.93,62.93,0
49.38,88.69,2.02,43.01,16.58,76.75,62.93,98.99,1
88.69,88.77,43.01,46.01,76.75,75.75,98.99,98.99,1
88.77,68.13,46.01,1.69,75.75,10.95,98.99,63.58,1
51.0,52.83,14.51,17.51,11.37,10.37,50.44,50.44,0
52.83,61.81,17.51,20.09,10.37,18.84,50.44,56.32,0
61.81,63.6,20.09,22.09,18.84,17.84,56.32,56.32,0
63.6,28.53,22.09,20.12,17.84,83.89,56.32,23.12,1
28.53,29.21,20.12,21.12,83.89,84.89,23.12,23.12,1
29.21,69.53,21.12,10.04,84.89,16.83,23.12,54.22,1
60.62,60.85,14.44,16.44,12.05,13.05,69.07,69.07,0
60.85,54.56,16.44,18.0,13.05,10.47,69.07,58.35,0
54.56,55.25,18.0,20.0,10.47,11.47,58.35,58.35,0
55.25,19.03,20.0,21.58,11.47,54.23,58.35,88.12,1
19.03,22.66,21.58,22.58,54.23,58.23,88.12,88.12,1
22.66,56.97,22.58,28.99,58.23,18.16,88.12,64.22,1
69.34,69.04,12.51,12.51,16.41,20.41,62.71,62.71,0
69.04,64.13,12.51,12.79,20.41,19.17,62.71,66.84,0
64.13,64.32,12.79,14.79,19.17,20.17,66.84,66.84,0
64.32,84.94,14.79,44.97,20.17,57.23,66.84,90.33,1
84.94,88.33,44.97,44.97,57.23,57.23,90.33,90.33,1
88.33,56.23,44.97,18.36,57.23,13.14,90.33,65.61,1
67.93,68.2,12.14,12.14,12.84,13.84,61.25,61.25,0
68.2,63.77,12.14,8.28,13.84,15.52,61.25,65.41,0
63.77,62.32,8.28,7.28,15.52,13.52,65.41,65.41,0
62.32,93.72,7.28,54.39,13.52,1.5,65.41,1.15,1
93.72,96.24,54.39,55.39,1.5,4.5,1.15,1.15,1
96.24,62.85,55.39,9.79,4.5,14.15,1.15,60.7,1
55.56,57.42,18.12,19.12,16.82,16.82,60.26,60.26,0
57.42,53.3,19.12,15.31,16.82,16.12,60.26,68.61,0
53.3,54.01,15.31,17.31,16.12,14.12,68.61,68.61,0
54.01,96.75,17.31,42.45,14.12,8.16,68.61,97.76,1
96.75,97.4,42.45,45.45,8.16,13.16,97.76,97.76,1
